,Date/Time,Lat,Lon,Base,Time,Label,Date,Timestamp
53,6/29/2014 1:45:00,40.7351,-73.9855,B02512,1,NYC Pride,6/29/2014,1:45:00
54,6/29/2014 1:46:00,40.751,-73.99,B02512,1,NYC Pride,6/29/2014,1:46:00
55,6/29/2014 1:48:00,40.7158,-73.9643,B02512,1,NYC Pride,6/29/2014,1:48:00
56,6/29/2014 1:48:00,40.7253,-73.9839,B02512,1,NYC Pride,6/29/2014,1:48:00
57,6/29/2014 1:50:00,40.7234,-73.9903,B02512,1,NYC Pride,6/29/2014,1:50:00
58,6/29/2014 1:52:00,40.7372,-73.9969,B02512,1,NYC Pride,6/29/2014,1:52:00
59,6/29/2014 1:53:00,40.7388,-74.0051,B02512,1,NYC Pride,6/29/2014,1:53:00
60,6/29/2014 1:56:00,40.7506,-74.002,B02512,1,NYC Pride,6/29/2014,1:56:00
61,6/29/2014 1:56:00,40.7602,-73.9629,B02512,1,NYC Pride,6/29/2014,1:56:00
62,6/29/2014 1:59:00,40.7198,-73.9995,B02512,1,NYC Pride,6/29/2014,1:59:00
63,6/29/2014 2:01:00,40.7495,-73.9954,B02512,2,NYC Pride,6/29/2014,2:01:00
64,6/29/2014 2:03:00,40.762,-73.9718,B02512,2,NYC Pride,6/29/2014,2:03:00
65,6/29/2014 2:03:00,40.7349,-73.9985,B02512,2,NYC Pride,6/29/2014,2:03:00
66,6/29/2014 2:04:00,40.8581,-74.1475,B02512,2,NYC Pride,6/29/2014,2:04:00
67,6/29/2014 2:10:00,40.7485,-73.9925,B02512,2,NYC Pride,6/29/2014,2:10:00
68,6/29/2014 2:11:00,40.7394,-74.0064,B02512,2,NYC Pride,6/29/2014,2:11:00
69,6/29/2014 2:12:00,40.7336,-74.0031,B02512,2,NYC Pride,6/29/2014,2:12:00
70,6/29/2014 2:14:00,40.7404,-74.0056,B02512,2,NYC Pride,6/29/2014,2:14:00
71,6/29/2014 2:20:00,40.7187,-73.9881,B02512,2,NYC Pride,6/29/2014,2:20:00
72,6/29/2014 2:25:00,40.7834,-73.9781,B02512,2,NYC Pride,6/29/2014,2:25:00
73,6/29/2014 2:30:00,40.7401,-74.006,B02512,2,NYC Pride,6/29/2014,2:30:00
74,6/29/2014 2:30:00,40.761,-73.9907,B02512,2,NYC Pride,6/29/2014,2:30:00
75,6/29/2014 2:30:00,40.7443,-73.9891,B02512,2,NYC Pride,6/29/2014,2:30:00
76,6/29/2014 2:36:00,40.7559,-73.969,B02512,2,NYC Pride,6/29/2014,2:36:00
77,6/29/2014 2:37:00,40.7428,-74.004,B02512,2,NYC Pride,6/29/2014,2:37:00
78,6/29/2014 2:40:00,40.7381,-74.0097,B02512,2,NYC Pride,6/29/2014,2:40:00
79,6/29/2014 2:41:00,40.7398,-74.0028,B02512,2,NYC Pride,6/29/2014,2:41:00
