,Date/Time,Lat,Lon,Base,Time,Label,Date,Timestamp
61,7/4/2014 6:35:00,40.7368,-73.981,B02512,6,Fourth of July,7/4/2014,6:35:00
62,7/4/2014 6:41:00,40.688,-74.1818,B02512,6,Fourth of July,7/4/2014,6:41:00
63,7/4/2014 7:00:00,40.7137,-74.0352,B02512,7,Fourth of July,7/4/2014,7:00:00
64,7/4/2014 7:00:00,40.7137,-74.0352,B02512,7,Fourth of July,7/4/2014,7:00:00
65,7/4/2014 7:05:00,40.7725,-73.9631,B02512,7,Fourth of July,7/4/2014,7:05:00
66,7/4/2014 7:10:00,40.7372,-74.1699,B02512,7,Fourth of July,7/4/2014,7:10:00
67,7/4/2014 7:13:00,40.6484,-73.7827,B02512,7,Fourth of July,7/4/2014,7:13:00
68,7/4/2014 7:27:00,40.7625,-73.9965,B02512,7,Fourth of July,7/4/2014,7:27:00
69,7/4/2014 7:29:00,40.7828,-73.9736,B02512,7,Fourth of July,7/4/2014,7:29:00
70,7/4/2014 7:36:00,40.7629,-73.9783,B02512,7,Fourth of July,7/4/2014,7:36:00
71,7/4/2014 7:48:00,40.7386,-74.0075,B02512,7,Fourth of July,7/4/2014,7:48:00
72,7/4/2014 7:51:00,40.7732,-73.8856,B02512,7,Fourth of July,7/4/2014,7:51:00
73,7/4/2014 8:04:00,40.6877,-74.1819,B02512,8,Fourth of July,7/4/2014,8:04:00
74,7/4/2014 8:06:00,40.7288,-74.1795,B02512,8,Fourth of July,7/4/2014,8:06:00
75,7/4/2014 8:06:00,40.7581,-73.9646,B02512,8,Fourth of July,7/4/2014,8:06:00
76,7/4/2014 8:06:00,40.7581,-73.9646,B02512,8,Fourth of July,7/4/2014,8:06:00
77,7/4/2014 8:08:00,40.759,-73.9848,B02512,8,Fourth of July,7/4/2014,8:08:00
78,7/4/2014 8:08:00,40.7172,-73.8408,B02512,8,Fourth of July,7/4/2014,8:08:00
79,7/4/2014 8:09:00,40.6303,-73.6987,B02512,8,Fourth of July,7/4/2014,8:09:00
80,7/4/2014 8:10:00,40.7394,-74.0017,B02512,8,Fourth of July,7/4/2014,8:10:00
81,7/4/2014 8:12:00,40.7451,-73.957,B02512,8,Fourth of July,7/4/2014,8:12:00
82,7/4/2014 8:24:00,40.8182,-73.9275,B02512,8,Fourth of July,7/4/2014,8:24:00
83,7/4/2014 8:34:00,40.7162,-73.9636,B02512,8,Fourth of July,7/4/2014,8:34:00
84,7/4/2014 8:36:00,40.7681,-73.9859,B02512,8,Fourth of July,7/4/2014,8:36:00
85,7/4/2014 8:36:00,40.7681,-73.9859,B02512,8,Fourth of July,7/4/2014,8:36:00
86,7/4/2014 8:44:00,40.7662,-73.961,B02512,8,Fourth of July,7/4/2014,8:44:00
87,7/4/2014 8:45:00,40.7547,-73.993,B02512,8,Fourth of July,7/4/2014,8:45:00
88,7/4/2014 8:53:00,40.6971,-73.9841,B02512,8,Fourth of July,7/4/2014,8:53:00
